,id,latitude,longitude
15,1616219923,20.6385685,-103.4269885
20,1616219989,20.6380834,-103.4266177
26,1616219980,20.6377909,-103.4270746
31,1616219936,20.6375092,-103.4275147
34,559863010,20.6371658,-103.4280511
45,559863011,20.6366337,-103.427678
54,1613616007,20.6361113,-103.427296
59,1613615926,20.6356861,-103.426985
67,1613616131,20.6352732,-103.426698
78,1686535986,20.6347534,-103.4263101
92,1441012844,20.6341726,-103.4258768
97,1648032627,20.6340685,-103.425802
115,1648032635,20.6334169,-103.4253896
159,1660016551,20.6317413,-103.4243955
214,1441012914,20.6301014,-103.4228507
215,1441012886,20.6300997,-103.4229111
221,1441012915,20.6299648,-103.4226305
222,1441012871,20.629888,-103.4226032
231,1441012853,20.6296127,-103.4227617
233,6641095208,20.6295913,-103.4228515
238,6573152442,20.6293561,-103.4232129
242,1686407311,20.629129,-103.4233585
253,1686407309,20.6286723,-103.423647
271,1686407305,20.6281278,-103.4240281
294,1440984138,20.6275095,-103.4244662
307,1793387640,20.6270675,-103.424802
311,1793387639,20.6269189,-103.4249043
322,1409273276,20.6264312,-103.42526
348,1937520796,20.6254402,-103.4258546
364,8344527683,20.6249732,-103.4261398
393,2878663982,20.623513,-103.4270316
398,2878663978,20.6233162,-103.4268514
403,2878663975,20.6230638,-103.4276179
404,2878663974,20.623054,-103.4268489
405,2878663973,20.6229622,-103.4268999
406,2878663970,20.6228561,-103.4274413
407,2878663969,20.6228224,-103.4270989
